queue_id,audit_id,mapping_id,paper_id,paper_title,year,doi,openalex_url,author,current_institution,current_institution_id,raw_affiliation,suggested_canonical_institution,suggested_institution_id,severity,issue_type,reason,recommended_action,finding_status,resolution_action,resolution_note,is_current,created_at,updated_at,resolved_at,resolved_by
institution-review:43afc5253cbf6bed14ea,institution-consistency:052f32339e99e4bd0730,mapping:41d0f97ab0f721d4a541,curated:45cb3642fd138c136139,Decision-Driven Orthogonal Learning with Complementary Feature Mining for Robust Synthetic Image Detection,2026,10.1609/aaai.v40i8.37553,https://openalex.org/W7137819524,Linchao Zhang,China Electronics Technology Group Corporation,institution:5757493192522b63,Information Science Academy，China Electronics Technology Group Corporation,,,medium,author_institution_conflict,"Why flagged: same author and paper have unrelated canonical institutions 'China Electronics Technology Group Corporation' and 'China Academy of Information and Communications Technology'; this may be a legitimate multiple affiliation, so it is grouped for review rather than treated as corruption.",Review the grouped evidence and keep multiple affiliations when both are supported.,archived,resolved_by_reaudit,Finding no longer appears in the generated audit.,false,2026-07-13T22:22:31+00:00,2026-07-14T07:20:33+00:00,2026-07-14T07:20:33+00:00,queue-sync
institution-review:68383a97d87bb335f1bf,institution-consistency:a7c465a2b2cbfc271d60,mapping:e795ef358670ff04d29b,curated:45cb3642fd138c136139,Decision-Driven Orthogonal Learning with Complementary Feature Mining for Robust Synthetic Image Detection,2026,10.1609/aaai.v40i8.37553,https://openalex.org/W7137819524,Linchao Zhang,China Academy of Information and Communications Technology,institution:7ecedd9572b7f6ba,Information Science Academy，China Electronics Technology Group Corporation,China Electronics Technology Group Corporation,institution:5757493192522b63,high,suspicious_replacement,"Why flagged: raw affiliation strongly matches 'China Electronics Technology Group Corporation', not the current institution; organization names have low semantic similarity and no alias, parent, or merge relationship. The evidence crosses research and commercial organization families.",Replace mapping after reviewing the original affiliation.,archived,mapping_replaced,Linked mapping now targets another institution; prior finding retained as historical audit evidence.,false,2026-07-13T22:22:31+00:00,2026-07-14T06:43:02+00:00,2026-07-14T06:43:02+00:00,mapping-sync
institution-review:3918d1a5f578afa0c7f2,institution-consistency:816cbc2112eb7a060a21,mapping:41d0f97ab0f721d4a541,curated:45cb3642fd138c136139,Decision-Driven Orthogonal Learning with Complementary Feature Mining for Robust Synthetic Image Detection,2026,10.1609/aaai.v40i8.37553,https://openalex.org/W7137819524,Siying Zhu,China Electronics Technology Group Corporation,institution:5757493192522b63,Information Science Academy，China Electronics Technology Group Corporation,,,medium,author_institution_conflict,"Why flagged: same author and paper have unrelated canonical institutions 'China Electronics Technology Group Corporation' and 'China Academy of Information and Communications Technology'; this may be a legitimate multiple affiliation, so it is grouped for review rather than treated as corruption.",Review the grouped evidence and keep multiple affiliations when both are supported.,archived,resolved_by_reaudit,Finding no longer appears in the generated audit.,false,2026-07-13T22:22:31+00:00,2026-07-14T07:20:33+00:00,2026-07-14T07:20:33+00:00,queue-sync
institution-review:c0f5ce76bd15182757c3,institution-consistency:badd9a9d3542add45dad,mapping:e795ef358670ff04d29b,curated:45cb3642fd138c136139,Decision-Driven Orthogonal Learning with Complementary Feature Mining for Robust Synthetic Image Detection,2026,10.1609/aaai.v40i8.37553,https://openalex.org/W7137819524,Siying Zhu,China Academy of Information and Communications Technology,institution:7ecedd9572b7f6ba,Information Science Academy，China Electronics Technology Group Corporation,China Electronics Technology Group Corporation,institution:5757493192522b63,high,suspicious_replacement,"Why flagged: raw affiliation strongly matches 'China Electronics Technology Group Corporation', not the current institution; organization names have low semantic similarity and no alias, parent, or merge relationship. The evidence crosses research and commercial organization families.",Replace mapping after reviewing the original affiliation.,archived,mapping_replaced,Linked mapping now targets another institution; prior finding retained as historical audit evidence.,false,2026-07-13T22:22:31+00:00,2026-07-14T06:43:02+00:00,2026-07-14T06:43:02+00:00,mapping-sync
institution-review:d4410f893dfeb2800ebd,institution-consistency:3000a5ddd5d9346955ae,mapping:21c6265e24d2d37c8341,curated:6f55b599c4d1588c62f7,DTBF: Combining Local Statistical Artifacts and Concept Alignment for Synthetic Image Detection,2026,10.1109/lsp.2026.3710437,https://openalex.org/W7167493723,Gaobo Yang,Hunan University,institution:be8fe6da68f67876,"School of Computer, Hunan University, Changsha, China",,,high,author_institution_conflict,Same author and paper have unrelated canonical institutions: 'Hunan University' and 'Changsha University'; preserved evidence does not establish two compatible affiliations.,Review both mappings and replace or exclude the incorrect one.,archived,resolved_by_reaudit,Finding no longer appears in the generated audit.,false,2026-07-13T22:22:31+00:00,2026-07-13T23:47:16+00:00,2026-07-13T23:47:16+00:00,queue-sync
institution-review:933e7fa9f3f863588bf3,institution-consistency:6027d14678ef66ebb0c8,mapping:f1d935f20af9e2def71d,curated:6f55b599c4d1588c62f7,DTBF: Combining Local Statistical Artifacts and Concept Alignment for Synthetic Image Detection,2026,10.1109/lsp.2026.3710437,https://openalex.org/W7167493723,Gaobo Yang,Changsha University,institution:48be4a3c2949fee3,"School of Computer, Hunan University, Changsha, China",Hunan University,institution:be8fe6da68f67876,high,suspicious_replacement,"Raw affiliation strongly matches 'Hunan University', not the current institution; no alias, parent, or merge relationship permits the replacement.",Replace mapping after reviewing the original affiliation.,archived,resolved_by_reaudit,Finding no longer appears in the generated audit.,false,2026-07-13T22:22:31+00:00,2026-07-13T23:47:16+00:00,2026-07-13T23:47:16+00:00,queue-sync
institution-review:c7b117d689d3633257b8,institution-consistency:7c90bb170a99cb787515,mapping:8b6ba1426925ce1e73d7,curated:8705551f18f94daa53d4,ERASE: Bypassing Collaborative Detection of AI Counterfeit via Comprehensive Artifacts Elimination,2026,10.1109/tdsc.2026.3677794,https://openalex.org/W7140557520,Shengzhi Zhang,Boston University,institution:2c846bda509d7d12,"Boston University MET College, Boston, MA, USA",,,medium,author_institution_conflict,"Why flagged: same author and paper have unrelated canonical institutions 'Boston University' and 'University of Massachusetts Boston'; this may be a legitimate multiple affiliation, so it is grouped for review rather than treated as corruption.",Review the grouped evidence and keep multiple affiliations when both are supported.,open,,,true,2026-07-13T22:22:31+00:00,2026-07-15T12:08:10+00:00,,
institution-review:a50cbfbf9026e9bbf1a1,institution-consistency:4907a3ad072791035428,mapping:88b63b9b50c00384fb68,curated:8705551f18f94daa53d4,ERASE: Bypassing Collaborative Detection of AI Counterfeit via Comprehensive Artifacts Elimination,2026,10.1109/tdsc.2026.3677794,https://openalex.org/W7140557520,Shengzhi Zhang,University of Massachusetts Boston,institution:16acb7bf7b8c14cf,"Boston University MET College, Boston, MA, USA",Boston University,institution:2c846bda509d7d12,medium,suspicious_replacement,"Why flagged: raw affiliation strongly matches 'Boston University', not the current institution; organization names have low semantic similarity and no alias, parent, or merge relationship. Both organizations are research-sector entities, so this remains a review case rather than presumed corruption.",Replace mapping after reviewing the original affiliation.,open,,,true,2026-07-13T22:22:31+00:00,2026-07-15T12:08:10+00:00,,
institution-review:7929fafdccd6f5ffd1f1,institution-consistency:c3e9c904a2e752b42c9f,mapping:57379b0ca2796ded4d28,curated:2c278dcd079ea27d0f73,MAID: Model Attribution via Inverse Diffusion,2025,10.1109/icassp49660.2025.10888869,https://openalex.org/W4408354801,Derui Wang,Commonwealth Scientific and Industrial Research Organisation,institution:3da00d58d4c97192,"CSIRO&#x2019;s Data61,Australia",Data61,institution:3be1ce40ea53f6d2,medium,author_institution_conflict,"Why flagged: same author and paper have unrelated canonical institutions 'Commonwealth Scientific and Industrial Research Organisation' and 'Data61'; this may be a legitimate multiple affiliation, so it is grouped for review rather than treated as corruption.",Review the grouped evidence and keep multiple affiliations when both are supported.,open,,,true,2026-07-13T22:22:31+00:00,2026-07-15T12:08:10+00:00,,
institution-review:fdf5a03ebe3f73cfe6d3,institution-consistency:ad82f512024fd4767373,mapping:57379b0ca2796ded4d28,curated:2c278dcd079ea27d0f73,MAID: Model Attribution via Inverse Diffusion,2025,10.1109/icassp49660.2025.10888869,https://openalex.org/W4408354801,Derui Wang,Commonwealth Scientific and Industrial Research Organisation,institution:3da00d58d4c97192,"CSIRO&#x2019;s Data61,Australia",Data61,institution:3be1ce40ea53f6d2,medium,suspicious_replacement,"Why flagged: raw affiliation strongly matches 'Data61', not the current institution; organization names have low semantic similarity and no alias, parent, or merge relationship. Both organizations are research-sector entities, so this remains a review case rather than presumed corruption.",Replace mapping after reviewing the original affiliation.,open,,,true,2026-07-13T22:22:31+00:00,2026-07-15T12:08:10+00:00,,
